"paya1", "Airtel", "FTTH", "Jaishree", "www.excitel.com", "pwd555307", "TP-Link_B65C", "88Medha", "151*", "TanuAbhi136", "JioFiber-Dinesh_4G", "Sunny", "DoozyPixie", "MALHOTRA", "ladoobala", "Rahul Iyer _ 2g", "BatCave", "157medha", "Sagar 1", "airtel171", "pranav4g"

Mishty Room:

-63.00,-59.00,-75.00,-71.00,-75.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00n
-57.00,-69.00,-79.00,-68.00,-82.00,0.00,0.00,0.00,0.00,0.00,-88.00,0.00,-92.00,0.00,-93.00,-93.00,0.00,0.00,0.00,0.00,0.00n
-65.00,-61.00,-73.00,-70.00,-77.00,-91.00,0.00,0.00,-95.00,0.00,0.00,0.00,0.00,-93.00,-93.00,-94.00,0.00,0.00,-91.00,0.00,0.00n
-60.00,-73.00,-77.00,-66.00,-82.00,-95.00,0.00,0.00,0.00,0.00,0.00,0.00,-91.00,-93.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00n
-57.00,-60.00,-77.00,-70.00,-74.00,-91.00,0.00,0.00,-94.00,0.00,-87.00,0.00,0.00,-91.00,-94.00,-91.00,0.00,0.00,-92.00,0.00,0.00n
-59.00,-64.00,-79.00,-73.00,-77.00,-93.00,0.00,0.00,-93.00,0.00,0.00,0.00,0.00,-91.00,0.00,-93.00,0.00,0.00,-89.00,0.00,0.00n
-59.00,-67.00,-76.00,-68.00,-77.00,-93.00,-94.00,0.00,0.00,0.00,0.00,-92.00,-93.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-93.00n
-59.00,-68.00,-78.00,-69.00,-77.00,-92.00,-93.00,0.00,0.00,0.00,0.00,0.00,-92.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00n
-56.00,-66.00,-78.00,-68.00,-77.00,0.00,0.00,0.00,0.00,0.00,0.00,-92.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00n
-57.00,-64.00,-80.00,-69.00,-82.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00n
-59.00,-69.00,-80.00,-70.00,-87.00,0.00,0.00,0.00,0.00,0.00,-86.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00n
-60.00,-63.00,-76.00,-65.00,-76.00,-89.00,-90.00,0.00,-92.00,0.00,0.00,0.00,-92.00,-95.00,-88.00,-91.00,0.00,0.00,-94.00,0.00,0.00n
-78.00,-59.00,-76.00,-72.00,-76.00,-94.00,-91.00,-92.00,-93.00,0.00,0.00,0.00,-92.00,-92.00,-91.00,-90.00,0.00,0.00,0.00,0.00,0.00n
-69.00,-61.00,-75.00,-75.00,-75.00,-93.00,-90.00,0.00,-93.00,0.00,0.00,0.00,-88.00,0.00,-92.00,-93.00,0.00,0.00,-90.00,0.00,0.00n
-60.00,-73.00,-79.00,-69.00,-76.00,-93.00,0.00,0.00,0.00,0.00,0.00,0.00,-90.00,-93.00,-93.00,-92.00,0.00,0.00,0.00,0.00,0.00n
-60.00,-70.00,-75.00,-69.00,-74.00,-92.00,0.00,0.00,0.00,0.00,-89.00,0.00,0.00,0.00,-91.00,0.00,0.00,0.00,0.00,0.00,0.00n
-60.00,-76.00,-74.00,-68.00,-77.00,-93.00,0.00,0.00,0.00,0.00,0.00,0.00,-89.00,0.00,-91.00,0.00,0.00,0.00,0.00,0.00,0.00n
-69.00,-59.00,-77.00,-74.00,-78.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-93.00,0.00,0.00,0.00,-93.00,0.00,0.00n
-70.00,-55.00,-77.00,-77.00,-77.00,0.00,0.00,-96.00,0.00,0.00,0.00,0.00,0.00,0.00,-91.00,0.00,0.00,0.00,-96.00,0.00,0.00n
-67.00,-58.00,-78.00,-78.00,-77.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-91.00,0.00,0.00,0.00,-90.00,0.00,0.00n

Bedroom:

-50.00,-85.00,-83.00,0.00,-66.00,0.00,-90.00,0.00,-90.00,0.00,-82.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00n
-56.00,-70.00,-80.00,-81.00,-60.00,0.00,0.00,0.00,-91.00,0.00,-76.00,0.00,-90.00,-90.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00n
-56.00,-75.00,-80.00,-85.00,-61.00,0.00,-89.00,-91.00,-94.00,0.00,-72.00,0.00,-92.00,0.00,0.00,-93.00,0.00,0.00,0.00,0.00,0.00n
-55.00,-82.00,-79.00,-82.00,-66.00,0.00,-90.00,0.00,-91.00,0.00,-73.00,0.00,-91.00,-89.00,0.00,-96.00,0.00,0.00,0.00,0.00,0.00n
-64.00,-83.00,-79.00,-77.00,-65.00,0.00,-91.00,-93.00,-92.00,0.00,-72.00,0.00,-90.00,-86.00,0.00,-95.00,0.00,0.00,0.00,0.00,0.00n
-53.00,-80.00,-94.00,-81.00,-59.00,0.00,0.00,-95.00,-92.00,0.00,-71.00,0.00,-90.00,-85.00,0.00,-91.00,0.00,0.00,0.00,0.00,0.00n
-51.00,0.00,-60.00,-83.00,-59.00,0.00,0.00,0.00,-91.00,0.00,-74.00,0.00,-92.00,0.00,0.00,-94.00,0.00,0.00,0.00,0.00,0.00n
-50.00,-78.00,-79.00,-80.00,-60.00,0.00,-87.00,-91.00,-91.00,0.00,-75.00,0.00,0.00,0.00,0.00,-92.00,0.00,0.00,0.00,0.00,0.00n
-51.00,-79.00,-61.00,-79.00,-59.00,0.00,-86.00,-93.00,-89.00,0.00,-74.00,0.00,0.00,-91.00,0.00,-93.00,0.00,0.00,0.00,0.00,0.00n
-48.00,-82.00,-80.00,-82.00,-64.00,0.00,0.00,0.00,-93.00,0.00,-73.00,0.00,-92.00,-90.00,0.00,-93.00,0.00,0.00,0.00,0.00,0.00n
